"Qty","Designator","Part","Comment","Footprint"
"2","C1002,C1004","CAP","100n","CAP_0402"
"2","C1001,C1003","CAP","1u","CAP_0402"
"4","J1001,J1002,J1007,J1008","Conn_01x04","BC-12-4PD170-08","J_BATTERY_CONN"
"7","J1003,J1004,J1005,J1006,J1009,J1015,J1016","SMD_NUT","SMTSO1625MTJ","SMD_NUT_M1.6x2.5"
"1","LOGO701","LOGO","LOGO","OSHWA"
"1","Q1001","2N7002","2N7002","SOT-23"
"2","R1002,R1003","RES","47R","RES_0402"
"7","R1001,R1004,R1005,R1006,R1007,R1008,R1009","RES","10k","RES_0402"
"8","SW1001,SW1002,SW1003,SW1004,SW1005,SW1006,SW1007,SW1008","CPG135001D02","CPG135001D02","KEY-TH_CPG135001D0X"
